호선,외부코드,전철역코드,전철역명,출구번호,역세권명
1,158,1810,제물포,1,제물포시장
1,152,1806,부평,1,인천성모병원
1,152,1806,부평,1,"경찰종합학교, 예림학교"
1,152,1806,부평,1,"동수사거리, 부평6동"
1,152,1806,부평,2,"부평남초등학교, 부일여중"
1,152,1806,부평,2,부평2동
1,152,1806,부평,3,역전지구대
1,152,1806,부평,3,골프연습장
1,152,1806,부평,4,"북부역광장, 롯데마트"
1,152,1806,부평,5,역전지구대
1,152,1806,부평,5,코아빌딩
1,152,1806,부평,6,북인천우체국
1,152,1806,부평,6,부평119안전센터
1,152,1806,부평,6,국민은행
1,152,1806,부평,6,우리은행
1,152,1806,부평,6,농협
1,152,1806,부평,6,한국씨티은행
1,152,1806,부평,6,북부역광장
1,152,1806,부평,6,"코아빌딩, 대한극장"
1,152,1806,부평,7,마사회
1,152,1806,부평,7,채원뷔페
1,152,1806,부평,7,삼화고속
1,153,1807,백운,1,부평3동사무소
1,153,1807,백운,1,십정2동사무소
1,153,1807,백운,2,백운파출소
1,153,1807,백운,2,부광고등학교
1,153,1807,백운,2,부평서여중학교
1,153,1807,백운,2,신촌초등학교
1,153,1807,백운,3,백운파출소
1,153,1807,백운,3,부광고등학교
1,153,1807,백운,3,부평서여중학교
1,153,1807,백운,3,신촌초등학교
1,154,1808,동암,1,가천의대길병원
1,154,1808,동암,1,남동경찰서
1,154,1808,동암,1,동암파출소
1,154,1808,동암,1,십정2동사무소
1,154,1808,동암,2,동암우체국
1,156,1809,주안,1,석암초등학교
1,156,1809,주안,1,인하공업전문대학
1,156,1809,주안,1,인하대학교
1,156,1809,주안,2,병무청(신체검사장)
1,156,1809,주안,2,인천지방법원
1,156,1809,주안,2,주안1파출소
1,156,1809,주안,3,주안북초등학교
1,156,1809,주안,4,주안5동사무소
1,158,1810,제물포,1,제물포파출소
1,158,1810,제물포,1,제물포우체국
1,158,1810,제물포,1,수봉공원
1,158,1810,제물포,1,인천남중학교
1,158,1810,제물포,1,숭의초등학교
1,158,1810,제물포,1,숭의4동사무소
1,158,1810,제물포,1,남구청
1,158,1810,제물포,1,남구청의회
1,158,1810,제물포,2,인천의료원
1,158,1810,제물포,2,도화2동사무소
1,158,1810,제물포,2,인천대학교
1,158,1810,제물포,2,인천전문대학
1,158,1810,제물포,2,박문여자고등학교
1,158,1810,제물포,2,재능대학
1,158,1810,제물포,2,인화여자중학교
1,158,1810,제물포,2,선화여자상업고등학교
1,158,1810,제물포,2,서화초등학교
1,158,1810,제물포,2,"송림3,5동사무소"
1,160,1811,동인천,1,인천백화점
