역번호,역사명,노선번호,노선명,환승역구분,환승노선번호,환승노선명,역위도,역경도,데이터기준일자
3110,계양,S2801,인천지하철 1호선,환승역,I2801+S2801,공항철도,37.571539,126.736319,2019-11-15
3111,귤현,S2801,인천지하철 1호선,일반역,-,-,37.566362,126.742498,2019-11-15
3112,박촌,S2801,인천지하철 1호선,일반역,-,-,37.553525,126.744946,2019-11-15
3113,임학,S2801,인천지하철 1호선,일반역,-,-,37.545058,126.738642,2019-11-15
3114,계산,S2801,인천지하철 1호선,일반역,-,-,37.543243,126.728436,2019-11-15
3115,경인교대입구,S2801,인천지하철 1호선,일반역,-,-,37.538272,126.722603,2019-11-15
3116,작전,S2801,인천지하철 1호선,일반역,-,-,37.530271,126.722548,2019-11-15
3117,갈산,S2801,인천지하철 1호선,일반역,-,-,37.517124,126.721566,2019-11-15
3118,부평구청,S2801,인천지하철 1호선,환승역,I2801+S1107,7호선,37.508768,126.720547,2019-11-15
3119,부평시장,S2801,인천지하철 1호선,일반역,-,-,37.498495,126.722282,2019-11-15
3120,부평,S2801,인천지하철 1호선,환승역,I2801+I1101,1호선,37.490541,126.723437,2019-11-15
3121,동수,S2801,인천지하철 1호선,일반역,-,-,37.485409,126.718464,2019-11-15
3122,부평삼거리,S2801,인천지하철 1호선,일반역,-,-,37.478267,126.710494,2019-11-15
3123,간석오거리,S2801,인천지하철 1호선,일반역,-,-,37.466921,126.707861,2019-11-15
3124,인천시청,S2801,인천지하철 1호선,일반역,-,-,37.457615,126.702216,2019-11-15
3125,예술회관,S2801,인천지하철 1호선,일반역,-,-,37.449334,126.700991,2019-11-15
3126,인천터미널,S2801,인천지하철 1호선,일반역,-,-,37.441917,126.699727,2019-11-15
3127,문학경기장,S2801,인천지하철 1호선,일반역,-,-,37.434964,126.698373,2019-11-15
3128,선학,S2801,인천지하철 1호선,일반역,-,-,37.426985,126.698872,2019-11-15
3129,신연수,S2801,인천지하철 1호선,일반역,-,-,37.418032,126.693853,2019-11-15
3130,원인재,S2801,인천지하철 1호선,환승역,I2801+I2802,수인선,37.412364,126.687893,2019-11-15
3131,동춘,S2801,인천지하철 1호선,일반역,-,-,37.404676,126.680835,2019-11-15
3132,동막,S2801,인천지하철 1호선,일반역,-,-,37.398173,126.673561,2019-11-15
3133,캠퍼스타운,S2801,인천지하철 1호선,일반역,-,-,37.388209,126.661985,2019-11-15
3134,테크노파크,S2801,인천지하철 1호선,일반역,-,-,37.382311,126.656355,2019-11-15
3135,지식정보단지,S2801,인천지하철 1호선,일반역,-,-,37.378021,126.645412,2019-11-15
3136,인천대입구,S2801,인천지하철 1호선,일반역,-,-,37.386239,126.639351,2019-11-15
3137,센트럴파크,S2801,인천지하철 1호선,일반역,-,-,37.392833,126.635002,2019-11-15
3138,국제업무지구,S2801,인천지하철 1호선,일반역,-,-,37.400464,126.630094,2019-11-15
3201,검단오류,S2802,인천지하철 2호선,일반역,-,-,37.595162,126.629206,2019-11-15
3202,왕길,S2802,인천지하철 2호선,일반역,-,-,37.592191,126.642284,2019-11-15
3203,검단사거리,S2802,인천지하철 2호선,일반역,-,-,37.601693,126.656545,2019-11-15
3204,마전,S2802,인천지하철 2호선,일반역,-,-,37.597756,126.667195,2019-11-15
3205,완정,S2802,인천지하철 2호선,일반역,-,-,37.592867,126.672961,2019-11-15
3206,독정,S2802,인천지하철 2호선,일반역,-,-,37.584927,126.675981,2019-11-15
3207,검암,S2802,인천지하철 2호선,환승역,I2802+S2801,공항철도,37.568611,126.671221,2019-11-15
3208,검바위,S2802,인천지하철 2호선,일반역,-,-,37.561091,126.677529,2019-11-15
3209,아시아드경기장,S2802,인천지하철 2호선,일반역,-,-,37.551373,126.677075,2019-11-15
3210,서구청,S2802,인천지하철 2호선,일반역,-,-,37.543839,126.676795,2019-11-15
3211,가정(루원시티),S2802,인천지하철 2호선,일반역,-,-,37.524805,126.675387,2019-11-15
3212,가정중앙시장,S2802,인천지하철 2호선,일반역,-,-,37.517511,126.676784,2019-11-15
3213,석남(거북시장),S2802,인천지하철 2호선,일반역,-,-,37.507211,126.676304,2019-11-15
